NCT Number,Study Title
NCT01687465,A Trial to Compare the Laser Treatment (SLT vs. ALT) in Glaucoma Patients
NCT03595865,Efficacy of Tafluprost as an Adjunct to Medical Therapy for Residual Glaucoma After Trabeculectomy
NCT03609125,Cord Blood Serum in the Treatment of Neuro-Degenerative Ophthalmic Diseases. 1-Glaucoma
NCT04380025,Mirtogenol and Bimatoprost on IOP in Hispanics With Open-Angle Glaucoma
NCT03293992,A Study of the Safety Tolerability Pharmacokinetics and Pharmacodynamics of RO7058584 Following 7 Days of Instillation of Eye Drops in Patients With Primary Open Angle Glaucoma or Ocular Hypertension
NCT04515030,Changes of Trace Elements in Aqueous Humor Blood and Tears and Analysis of Related Factors
NCT05113121,Correlation Between Pupil Size and Ocular Signs of Pseudoexfoliation Syndrome
NCT04645992,Effect of Combining Yoga to TENS on Diabetic Glaucoma
NCT02047630,Efficacy of the Brand-name Latanoprost and One of Its Generic Version in Primary Open Angle Glaucoma and Ocular Hypertension
NCT01484392,Determinants of Compliance With Glaucoma Therapy
NCT06120621,Combined VCST With Phacoemulsification Versus Phacoemulsification in Primary Angle Closure Glaucoma
NCT04079725,Iris Tissue in Primary Congenital Glaucoma
NCT03611530,CoQun Study - (COQUN): a Study to Evaluate the Effects of CoQun in Patients Affected by Open-angle Glaucoma
NCT04054830,Steroids and/ or Non-steroidal Anti-inflammatory Drugs in the Postoperative Regime After Trabeculectomy.
NCT00326092,A Study of a Glaucoma Therapy to Treat Open-Angle Glaucoma or Ocular Hypertension
NCT04323930,eyeWatch vs. Trabeculectomy RCT (evT)
NCT03870230,Investigation of Neurovascular Coupling in Glaucoma Patients and Healthy Subjects
NCT00000125,Ocular Hypertension Treatment Study (OHTS)
NCT04896125,Comparison of Different Drugs on Ocular Surface Disease in Glaucoma Patients: a Prospective Randomised Study
NCT03959592,Macular Pigment and Visual Performance in Glaucoma Patients
NCT00741130,Corrected Measurement of the Retinal Nerve Fiber Layer Thickness by Optic Disc Configuration With the Cirrus HD OCT
NCT04297930,Treatment Outcomes of a Novel Glaucoma Tube Shunt Implant for Intraocular Pressure Control in Eyes With Refractory Glaucoma
NCT01749930,Comparing the Safety and Efficacy of BOL-303259-X Ophthalmic Solution With Timolol Maleate Ophthalmic Solution in Subjects With Open-Angle Glaucoma or Ocular Hypertension
NCT03894631,Effect of Intra-subject Phaco/Trabectome vs. Phaco/Kahook Dual Blade on Intraocular Pressure
NCT00406042,The Role of Steroids Following Selective Laser Trabeculoplasty
NCT00273442,Assessing Cosopt Switch Patients
NCT02785042,Optical Coherence Tomography (OCT) Reference Data Collection Study (S-2015-3)
NCT04141865,Effect of Xen Implantation on the Aqueous Humor Proteome
NCT02598765,Micro vs. Standard Trabeculectomy Study
NCT04967989,Clarifying the Optimal Application of SLT Therapy Trial
NCT01105065,Effect of Alphagan on Retinal Blood Flow Autoregulation and Motion Detection in Patients With Normal Pressure Glaucoma
NCT03188042,A Study Using Transorbital Alternating Current Stimulation for People With Glaucoma
NCT04460365,European Nutrition in Glaucoma Management Trial
NCT00766389,Retinal Nerve Fiber Layer Thickness Analysis With Cirrus HD OCT Versus Stratus Optical Coherence Tomography (OCT)
NCT04702789,Comparative Study of the Efficacy of Either Krytantek Ofteno PF® or Eliptic Ofteno PF® Plus Gaap Ofteno PF® for POAG or Ocular Hypertension.
NCT02805231,Associations of Vitamin D Receptor ApaI and Tru9I Polymorphisms With the Risk of Primary Open-angle Glaucoma
NCT03966365,Safety and Tolerability of the Preservative-free Ophthalmic Solution PRO-122 Compared With Krytantek Ofteno®
NCT05949242,Clinical Outcomes in Cataract Surgery With OMNI Canaloplasty vs Cataract Surgery With OMNI Canaloplasty and Hydrus Stent
NCT00347789,Effectiveness of a Procedure for Previously Failed Glaucoma Surgery
NCT02165631,The Diurnal and Nocturnal Effect of Simbrinza and Timolol on Intraocular Pressure and Ocular Perfusion Pressure
NCT01864642,Effects of a Single OMT on Intraocular Pressure (IOP) in Ocular Hypertenive or Glaucoma Suspect Subjects
NCT05332665,AS-OCT Evaluation of Iridocorneal Angle of Patients of Angle Closure Glaucoma After Phacoemulsification
NCT00576342,Patient Preference Study
NCT02959242,Dresden Glaucoma and Treatment Study (DGTS)
NCT00638742,A Phase 1 Open-Label Study of Latanoprost Acid Plasma Concentrations in Pediatric and Adult Glaucoma Patients Treated With Latanoprost.
NCT02366065,Does Oral Acetaminophen Lower Intraocular Pressure?
NCT03928665,Long-term Observation of Ophthalmic Changes in Patients With Obstructive Sleep Apnea
NCT06124521,Community Based Treatment for (ComBaT) Glaucoma
NCT00372931,A Phase II Study of AL-37807 to Treat Open-Angle Glaucoma or Ocular Hypertension
NCT03187821,Comparison of Superior vs Nasal/Temporal Laser Peripheral Iridotomy in Primary Angle Closure
NCT06154330,Safety and Efficacy of Suprachoroidal Tube Shunt in Patients With Primary Open and Pseudoexfoliation Glaucomas
NCT03394521,Progression of Disease in Patients Newly Diagnosed With Glaucoma and Glaucoma Suspects Participating in the GATE Study
NCT00765921,Ranibizumab in Combination With Proton Beam Irradiation for Choroidal Melanoma
NCT00838721,Evaluation of Pascal Laser Trabeculoplaty
NCT04145830,UCP Glaucoma Treatment for Primary Glaucoma in China
NCT01409421,RESEARCH PROTOCOL: Glaucoma Treatment Adherence and Persistence
NCT06112431,New York City SIGHT Study-2
NCT04918121,A Study of Yutiq Steroid Insert During Glaucoma Tube Implant Surgery
NCT05686421,Comfortable and Stabilizing Chin & Forehead Rest Attachment for Slit Lamp Configurations
NCT02901730,Clinical Study of LPI With Different Laser Wavelengths
NCT04157530,Clinical Evaluation of Acupuncture in Treating Glaucoma
NCT05235321,Automated Applanation Tonometry
NCT00303121,Compliance and Administration Technique in Topical Drug Therapy of Glaucoma
NCT01228721,Reproducibility of Retinal Nerve Fiber Layer Thickness Measurements Using the Eye Tracker and Retest Function of Spectralis® SD-OCT in Glaucomatous Eyes and Healthy Controls
NCT03077789,Prospective Study of the Diagnostic and Therapeutic Management of Congenital Glaucoma in France
NCT02599688,Open Label Extension of LipoLat-CS202
NCT00224289,Effect of Age on Latanoprost 0.005% in Patients With Glaucoma
NCT03494465,Efficacy and Safety of Lens Extraction in Patients With Pseudoexfoliation Glaucoma
NCT04683289,Visco-Circumferential-Suture-Trabeculotomy Versus Trabeculotomy
NCT02928289,Randomized Study of the Safety and Effectiveness of the Sight Sciences VISCO™360 Viscosurgical System Versus SLT in Primary Open Angle Glaucoma (VISCO360 Study)
NCT01446588,Ocular Hypertension And Yoga Study
NCT00573638,Effects of Xal-Ease on Patient Compliance With Xalatan
NCT03689088,Sensing Contact Lens-based Device for 24-hour Monitoring of Intraocular Pressure
NCT03323138,Study on Ex-PRESS Implantation Combined With Phacoemulsification in Primary Angle-closure Glaucoma
NCT01308788,Aqueous Suppressant Versus Aqueous Outflow on Ocular Blood Flow
NCT01906138,An Open Label Study Assessing the 24-hour Intraocular Pressure Pattern in PAC and PACG Patients Before and After Laser Peripheral Iridotomy
NCT04651231,Punch Trabeculectomy Versus Classic Trabeculectomy
NCT00346931,Phacotrabeculotomy Versus CCI+Phaco in Patients With Borderline Control of Intraocular Pressure
NCT01836042,Post-approval Study of The Glaukos® iStent® Trabecular Micro-bypass Stent: Extended Follow-up of the Premarket Cohort
NCT00758342,Azopt (Brinzolamide 1.0%) Plus Travatan (Travoprost 0.004%) in Treating Patients With Chronic Angle-Closure Glaucoma (CACG)
NCT06120842,Evaluation of the Bimatoprost Implant System Used in Combination With the SpyGlass Intraocular Lens Compared to Timolol Ophthalmic Solution
NCT03268031,Artificial Intelligence-assissted Glaucoma Evaluation
NCT00541242,Safety and Efficacy of Bimatoprost Compared With Latanoprost in Patients With Glaucoma or Ocular Hypertension
NCT00716742,Safety and Efficacy Study of Bimatoprost Latanoprost and Travoprost in Patients With Elevated Intraocular Pressure (IOP) and Open-angle Glaucoma (OAG)
NCT03506542,Phacotrabeculectomy With Collagen Matrix Implant (Ologen®) Versus Mitomycin C
NCT02014142,A Phase 2 Single-Masked Randomized Study of Latanoprost PPDS in Ocular Hypertension or Open-Angle Glaucoma
NCT02524431,The Changes Within the Cells of the Drainage System of the Eye in Patients With Glaucoma
NCT00384631,Intravitreal Bevacizumab for Neovascular Glaucoma
NCT03109665,Glaucoma Within Northern Ireland Cohort for the Longitudinal Study of Ageing
NCT02108288,Pharmacokinetic Study of OPC-1085EL Ophthalmic Solution in Healthy Male Adult Volunteers
NCT03338088,Evaluation of Adherence to Clinical Treatment of Glaucoma
NCT02862938,Study of NT-501 Encapsulated Cell Therapy for Glaucoma Neuroprotection and Vision Restoration
NCT01628588,Lumigan® in Patients With Primary Open Angle Glaucoma (POAG) or Ocular Hypertension (OHT)
NCT01410188,Safety/Efficacy Study: OPA-6566 Ophthalmic Solution in Subjects With Primary Open-Angle Glaucoma or Ocular Hypertension
NCT01704989,The Laser in Pseudoexfoliation (LIP) Study
NCT02014389,Evaluation of Objective Perimetry Using Chromatic Multifocal Pupillometer
NCT00476138,Effect of Epigallocatechin-Gallate on Inner Retinal Function in Ocular Hypertension and Early Glaucoma
NCT02162043,Development and Evaluation of a Self-administered/Assisted Visual Field Screening Tool for Glaucoma
NCT01426867,A Comfort Study of Brinzolamide 1% / Brimonidine 0.2% Fixed Combination Brinzolamide 1% and Brimonidine 0.2%
NCT02613143,Zonulo-hyaloido-vitrectomy for Malignant Glaucoma
NCT04406467,Retrospective Review of Xen Gel Stent Implantation With Open vs. Closed Conjunctiva Approach
NCT00150267,A 5-Year Postmarketing Safety Study Of Xalcom In Patients With Open Angle Glaucoma Or Ocular Hypertension
NCT01216943,Safety and Efficacy of Triple Combination Therapy in Patients With Glaucoma or Ocular Hypertension
NCT05041543,Safety and Tolerability of NTX-101 in Korean Healthy Volunteers
NCT02143843,An Open-Label Extension Study to Evaluate the Safety of the ForSight VISION5 Product
NCT00300443,Safety and Efficacy Study of Bimatoprost in Patients With Glaucoma or Ocular Hypertension
NCT04648943,The Effect of Trabeculectomy & Ex-PRESS Glaucoma Drainage Implant on the Corneal Biomechanical Properties
NCT00707421,Usefulness of Topical Non-Steroidal Anti-Inflammatory Drugs or Steroids Before Trabeculectomy and Clinical Outcomes
NCT00287521,A Study of Glaucoma Therapy to Treat Open-Angle Glaucoma or Ocular Hypertension
NCT05156021,A Study on the Treatment Strategy of NVG Secondary to PDR
NCT00273221,Combined Phacotube vs Phacotrabeculectomy:A Randomized Controlled Trial
NCT03715231,NIDEK Gonioscope GS-1 for Glaucoma
NCT00449631,Multidrug Resistance After Trabeculectomy With Mitomycin C
NCT01514721,Efficacy of Changing to DuoTrav® (Travoprost 0.004%/Timolol 0.5% BAK-Free Fixed Combination) From Prior Therapy
NCT05328921,Effects of Systemic Drugs on Intraocular Pressure
NCT01943721,A Study of the VISION5 Product in Patients With Glaucoma or Ocular Hypertension
NCT01769521,Relationship Between 24-hour IOP Pattern and the 24-hour Blood Pressure Pattern in Patients With POAG
NCT02558712,Technology-based Eye Care Services (TECS) Compare
NCT05906212,Anterior Lens Capsule as a Spacer in the Deep Sclerectomy _ Phacoemulsification
NCT00472810,Ologen (OculusGen)-Glaucoma MMC Control in Pakistan
NCT00980473,Argon Laser Peripheral Iridoplasty for Primary Angle Closure Glaucoma
NCT01136473,Mechanism of Aphakic and Pseudophakic Glaucoma in Pediatric Patients
NCT01887873,Safety of Hyaluronan Thiomer i.o. Implant During Combined Phacoemulsification - Non Penetrating Deep Sclerectomy
NCT02874846,Nocturnal/Diurnal Intraocular Pressure-Lowering Effect of Netarsudil Ophthalmic Solution
NCT00918346,Pharmacodynamics of Tafluprost 0.0015% Eye Drops: a Comparison Between the Preserved and Unpreserved Formulation
NCT01525173,A Safety and Efficacy Study of ALPHAGAN® P and LUMIGAN® in Subjects Previously Treated With Latanoprost for Glaucoma and Ocular Hypertension
NCT04334473,IOP and Ocular Biometrics Changes After Phacoemulsification in Glaucoma Patients and Controls
NCT02129673,A Phase 1/2 Multicenter Randomized Study to Evaluate the Safety and Efficacy of VS101 Subconjunctival Latanoprost Insert in Subjects With Open-Angle Glaucoma or Ocular Hypertension
NCT01481077,A Dose Evaluation Study of the Effect of Plug Placement on the Efficacy and Safety of the Latanoprost Punctal Plug Delivery System (L-PPDS) in Subjects With Ocular Hypertension or Open-Angle Glaucoma
NCT04632329,Negative Pressure Applied by the Equinox MPD for Severe Open Angle Glaucoma
NCT03958929,Impact of an Educational Video on Satisfaction After Glaucoma Surgery
NCT03648229,African Glaucoma Laser Trial
NCT02785029,Optical Coherence Tomography (OCT) Reference Data Collection Study (S-2015-1)
NCT02614651,AUgmented REality for the Visually Impaired - Part 1
NCT02250612,SYL040012 Treatment for Open Angle Glaucoma
NCT02822612,The EASE Study - Human Factor and Usability Testing of a Binocular OCT System
NCT04590651,Cataract Surgery in Patients With Pseudoexfoliation and Pseudoexfoliation Glaucoma
NCT02474238,Comparing Nd:YAG Laser and Sequential Double Frequency YAG-Nd:YAG Laser Iridotomy
NCT00698438,Comparison Of Trabeculectomy Versus The Ex-PRESS Miniature Glaucoma Device In The Same Patient: A Prospective Randomized Study
NCT00650338,Safety and Efficacy Study of DE-104 Ophthalmic Solution to Treat Open-angle Glaucoma or Ocular Hypertension
NCT06144138,Impact of Breathing Exercises and Meditation on Reducing Stress and Improving Quality of Life of Glaucoma Patients: An Electronic Pilot Feasibility Study
NCT00485238,ALPI vs Medical Therapy Effects on Optic Nerve Structure & Function
NCT02623738,A Study Assessing the Efficacy and Safety of DE-117 Ophthalmic Solution in Subjects With Primary Open Angle Glaucoma or Ocular Hypertension -AYAME Study-
NCT02757677,Evaluation of Blood Flow Characteristics in Glaucoma Using Optical Coherence Tomography Angiography (OCT-A).
NCT03466177,Multimodal Retinal Imaging in the Detection and Follow-up of Alzheimer's Disease
NCT05924477,Glaucoma Drainage Device and Endothelial Cell Loss Compare Trial
NCT03933631,Pilocarpine Use After Kahook Goniotomy
NCT03362931,Safety and Effectiveness of the XEN45 Glaucoma Treatment System in Patients With Angle Closure Glaucoma
NCT03921931,Retinal Photoreceptor Outer Segment Length Before and After Light Stimulation - a Pilot Study
NCT01247831,The Effect of Selective Laser Trabeculoplasty (SLT) on Ocular Rigidity
NCT01026831,Preservative-Free MK2452 (Tafluprost) for Open-Angle Glaucoma/Ocular Hypertension (MK2452-001)(COMPLETED)
NCT02077231,Study of Vitamin A and Carbomer in Comforting the Ocular Surface Irritations of Glaucoma Patients
NCT01669031,Randomized Controlled Trial on Visual Field Training
NCT05043831,Direct Selective Laser Trabeculoplasty in Ethnic Chinese Population The Zhuiguang Trial
NCT01540331,Efficacy And Safety of Pneumatic Trabeculoplasty
NCT05530031,UBM Guided Site and Extent of Trabeculotomy in Pediatric Glaucoma
NCT04426331,Vouchers to Increase Uptake of Already Free Eye Care
